cluster,P20_POP,P20_POP0014,P20_POP6074,P20_POP75P,C20_POP15P_CS3,C20_POP15P_CS6,PART_JEUNES,PART_SENIORS,n_iris
0,2294.6,328.08,474.62,324.52,146.35,207.53,14.26,35.1,6740
1,493.5,95.28,85.66,37.72,27.43,60.06,19.63,24.98,18075
2,4610.57,885.05,735.95,407.14,308.02,484.01,19.0,25.32,2655
3,308.42,40.05,76.64,42.65,12.75,33.07,12.25,39.66,10625
4,2818.04,431.79,377.13,218.03,588.88,119.71,15.16,21.51,3309
5,2279.03,482.44,325.61,156.54,126.39,261.36,21.11,21.51,7869
