cluster,LOG_POP,PCT_CS1,PCT_CS2,PCT_CS3,PCT_CS4,PCT_CS5,PCT_CS6,PCT_CS7,PCT_CS8,PART_JEUNES,PART_SENIORS,PCT_ACTIFS,PCT_IMM,PCT_ETR,n_iris
0,7.5801,0.0021,0.0373,0.2058,0.1701,0.1317,0.0629,0.2144,0.1756,0.1597,0.2275,0.6034,0.1151,0.0806,6597
1,7.5718,0.0016,0.0262,0.0559,0.1122,0.1876,0.1521,0.1841,0.2803,0.2191,0.1918,0.5655,0.2704,0.223,4086
2,6.2171,0.0197,0.0471,0.0497,0.1012,0.1275,0.1136,0.4161,0.1251,0.1333,0.3971,0.506,0.0546,0.0398,12379
3,6.5203,0.0164,0.0402,0.0607,0.1535,0.1707,0.1618,0.2638,0.133,0.1911,0.2547,0.5619,0.0369,0.024,23055
4,4.8637,0.1551,0.0379,0.0375,0.0947,0.1128,0.1265,0.3322,0.1033,0.1496,0.3484,0.5401,0.0399,0.0316,3156
